question_slug,title,content,sample_test_case,code_snippet,difficulty,topic_tag_slugs,similar_question_slugs
largest-element-in-an-array-after-merge-operations,Largest Element in an Array after Merge Operations,"<p>You are given a <strong>0-indexed</strong> array <code>nums</code> consisting of positive integers.</p>

<p>You can do the following operation on the array <strong>any</strong> number of times:</p>

<ul>
	<li>Choose an index <code>i</code> such that <code>0 <= i < nums.length - 1</code> and <code>nums[i] <= nums[i + 1]</code>. Replace the element <code>nums[i + 1]</code> with <code>nums[i] + nums[i + 1]</code> and delete the element <code>nums[i]</code> from the array.</li>
</ul>

<p>Return <em>the value of the <b>largest</b> element that you can possibly obtain in the final array.</em></p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> nums = [2,3,7,9,3]
<strong>Output:</strong> 21
<strong>Explanation:</strong> We can apply the following operations on the array:
- Choose i = 0. The resulting array will be nums = [<u>5</u>,7,9,3].
- Choose i = 1. The resulting array will be nums = [5,<u>16</u>,3].
- Choose i = 0. The resulting array will be nums = [<u>21</u>,3].
The largest element in the final array is 21. It can be shown that we cannot obtain a larger element.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> nums = [5,3,3]
<strong>Output:</strong> 11
<strong>Explanation:</strong> We can do the following operations on the array:
- Choose i = 1. The resulting array will be nums = [5,<u>6</u>].
- Choose i = 0. The resulting array will be nums = [<u>11</u>].
There is only one element in the final array, which is 11.
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= nums.length <= 10<sup>5</sup></code></li>
	<li><code>1 <= nums[i] <= 10<sup>6</sup></code></li>
</ul>","[2,3,7,9,3]","class Solution {
public:
    long long maxArrayValue(vector<int>& nums) {
        
    }
};",Medium,"[""array"", ""greedy""]","[""jump-game"", ""house-robber"", ""get-maximum-in-generated-array""]"
house-robber-v,House Robber V,"<p>You are a professional robber planning to rob houses along a street. Each house has a certain amount of money stashed and is protected by a security system with a color code.</p>

<p>You are given two integer arrays <code>nums</code> and <code>colors</code>, both of length <code>n</code>, where <code>nums[i]</code> is the amount of money in the <code>i<sup>th</sup></code> house and <code>colors[i]</code> is the color code of that house.</p>

<p>You <strong>cannot rob two adjacent</strong> houses if they share the <strong>same color</strong> code.</p>

<p>Return the <strong>maximum</strong> amount of money you can rob.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">nums = [1,4,3,5], colors = [1,1,2,2]</span></p>

<p><strong>Output:</strong> <span class=""example-io"">9</span></p>

<p><strong>Explanation:</strong></p>

<ul>
	<li>Choose houses <code>i = 1</code> with <code>nums[1] = 4</code> and <code>i = 3</code> with <code>nums[3] = 5</code> because they are non-adjacent.</li>
	<li>Thus, the total amount robbed is <code>4 + 5 = 9</code>.</li>
</ul>
</div>

<p><strong class=""example"">Example 2:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">nums = [3,1,2,4], colors = [2,3,2,2]</span></p>

<p><strong>Output:</strong> <span class=""example-io"">8</span></p>

<p><strong>Explanation:</strong></p>

<ul>
	<li>Choose houses <code>i = 0</code> with <code>nums[0] = 3</code>, <code>i = 1</code> with <code>nums[1] = 1</code>, and <code>i = 3</code> with <code>nums[3] = 4</code>.</li>
	<li>This selection is valid because houses <code>i = 0</code> and <code>i = 1</code> have different colors, and house <code>i = 3</code> is non-adjacent to <code>i = 1</code>.</li>
	<li>Thus, the total amount robbed is <code>3 + 1 + 4 = 8</code>.</li>
</ul>
</div>

<p><strong class=""example"">Example 3:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">nums = [10,1,3,9], colors = [1,1,1,2]</span></p>

<p><strong>Output:</strong> <span class=""example-io"">22</span></p>

<p><strong>Explanation:</strong></p>

<ul>
	<li>Choose houses <code>i = 0</code> with <code>nums[0] = 10</code>, <code>i = 2</code> with <code>nums[2] = 3</code>, and <code>i = 3</code> with <code>nums[3] = 9</code>.</li>
	<li>This selection is valid because houses <code>i = 0</code> and <code>i = 2</code> are non-adjacent, and houses <code>i = 2</code> and <code>i = 3</code> have different colors.</li>
	<li>Thus, the total amount robbed is <code>10 + 3 + 9 = 22</code>.</li>
</ul>
</div>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= n == nums.length == colors.length <= 10<sup>5</sup></code></li>
	<li><code>1 <= nums[i], colors[i] <= 10<sup>5</sup></code></li>
</ul>","[1,4,3,5]
[1,1,2,2]","class Solution {
public:
    long long rob(vector<int>& nums, vector<int>& colors) {
        
    }
};",Medium,"[""array"", ""dynamic-programming""]","[""house-robber""]"
missing-number,Missing Number,"<p>Given an array <code>nums</code> containing <code>n</code> distinct numbers in the range <code>[0, n]</code>, return <em>the only number in the range that is missing from the array.</em></p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">nums = [3,0,1]</span></p>

<p><strong>Output:</strong> <span class=""example-io"">2</span></p>

<p><strong>Explanation:</strong></p>

<p><code>n = 3</code> since there are 3 numbers, so all numbers are in the range <code>[0,3]</code>. 2 is the missing number in the range since it does not appear in <code>nums</code>.</p>
</div>

<p><strong class=""example"">Example 2:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">nums = [0,1]</span></p>

<p><strong>Output:</strong> <span class=""example-io"">2</span></p>

<p><strong>Explanation:</strong></p>

<p><code>n = 2</code> since there are 2 numbers, so all numbers are in the range <code>[0,2]</code>. 2 is the missing number in the range since it does not appear in <code>nums</code>.</p>
</div>

<p><strong class=""example"">Example 3:</strong></p>

<div class=""example-block"">
<p><strong>Input:</strong> <span class=""example-io"">nums = [9,6,4,2,3,5,7,0,1]</span></p>

<p><strong>Output:</strong> <span class=""example-io"">8</span></p>

<p><strong>Explanation:</strong></p>

<p><code>n = 9</code> since there are 9 numbers, so all numbers are in the range <code>[0,9]</code>. 8 is the missing number in the range since it does not appear in <code>nums</code>.</p>
</div>

<div class=""simple-translate-system-theme"" id=""simple-translate"">
<div>
<div class=""simple-translate-button isShow"" style=""background-image: url(""moz-extension://8a9ffb6b-7e69-4e93-aae1-436a1448eff6/icons/512.png""); height: 22px; width: 22px; top: 318px; left: 36px;""> </div>

<div class=""simple-translate-panel "" style=""width: 300px; height: 200px; top: 0px; left: 0px; font-size: 13px;"">
<div class=""simple-translate-result-wrapper"" style=""overflow: hidden;"">
<div class=""simple-translate-move"" draggable=""true""> </div>

<div class=""simple-translate-result-contents"">
<p class=""simple-translate-result"" dir=""auto""> </p>

<p class=""simple-translate-candidate"" dir=""auto""> </p>
</div>
</div>
</div>
</div>
</div>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>n == nums.length</code></li>
	<li><code>1 <= n <= 10<sup>4</sup></code></li>
	<li><code>0 <= nums[i] <= n</code></li>
	<li>All the numbers of <code>nums</code> are <strong>unique</strong>.</li>
</ul>

<p> </p>
<p><strong>Follow up:</strong> Could you implement a solution using only <code>O(1)</code> extra space complexity and <code>O(n)</code> runtime complexity?</p>","[3,0,1]","class Solution {
public:
    int missingNumber(vector<int>& nums) {
        
    }
};",Easy,"[""array"", ""hash-table"", ""math"", ""binary-search"", ""bit-manipulation"", ""sorting""]","[""first-missing-positive"", ""single-number"", ""find-the-duplicate-number"", ""couples-holding-hands"", ""find-unique-binary-string"", ""find-the-largest-almost-missing-integer""]"
find-the-duplicate-number,Find the Duplicate Number,"<p>Given an array of integers <code>nums</code> containing <code>n + 1</code> integers where each integer is in the range <code>[1, n]</code> inclusive.</p>

<p>There is only <strong>one repeated number</strong> in <code>nums</code>, return <em>this repeated number</em>.</p>

<p>You must solve the problem <strong>without</strong> modifying the array <code>nums</code> and using only constant extra space.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,3,4,2,2]
<strong>Output:</strong> 2
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> nums = [3,1,3,4,2]
<strong>Output:</strong> 3
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre>
<strong>Input:</strong> nums = [3,3,3,3,3]
<strong>Output:</strong> 3</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= n <= 10<sup>5</sup></code></li>
	<li><code>nums.length == n + 1</code></li>
	<li><code>1 <= nums[i] <= n</code></li>
	<li>All the integers in <code>nums</code> appear only <strong>once</strong> except for <strong>precisely one integer</strong> which appears <strong>two or more</strong> times.</li>
</ul>

<p> </p>
<p><b>Follow up:</b></p>

<ul>
	<li>How can we prove that at least one duplicate number must exist in <code>nums</code>?</li>
	<li>Can you solve the problem in linear runtime complexity?</li>
</ul>","[1,3,4,2,2]","class Solution {
public:
    int findDuplicate(vector<int>& nums) {
        
    }
};",Medium,"[""array"", ""two-pointers"", ""binary-search"", ""bit-manipulation""]","[""first-missing-positive"", ""single-number"", ""linked-list-cycle-ii"", ""missing-number"", ""set-mismatch""]"
find-all-numbers-disappeared-in-an-array,Find All Numbers Disappeared in an Array,"<p>Given an array <code>nums</code> of <code>n</code> integers where <code>nums[i]</code> is in the range <code>[1, n]</code>, return <em>an array of all the integers in the range</em> <code>[1, n]</code> <em>that do not appear in</em> <code>nums</code>.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>
<pre><strong>Input:</strong> nums = [4,3,2,7,8,2,3,1]
<strong>Output:</strong> [5,6]
</pre><p><strong class=""example"">Example 2:</strong></p>
<pre><strong>Input:</strong> nums = [1,1]
<strong>Output:</strong> [2]
</pre>
<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>n == nums.length</code></li>
	<li><code>1 <= n <= 10<sup>5</sup></code></li>
	<li><code>1 <= nums[i] <= n</code></li>
</ul>

<p> </p>
<p><strong>Follow up:</strong> Could you do it without extra space and in <code>O(n)</code> runtime? You may assume the returned list does not count as extra space.</p>","[4,3,2,7,8,2,3,1]","class Solution {
public:
    vector<int> findDisappearedNumbers(vector<int>& nums) {
        
    }
};",Easy,"[""array"", ""hash-table""]","[""first-missing-positive"", ""find-all-duplicates-in-an-array"", ""find-unique-binary-string"", ""append-k-integers-with-minimal-sum"", ""replace-elements-in-an-array"", ""maximum-number-of-integers-to-choose-from-a-range-i"", ""maximum-number-of-integers-to-choose-from-a-range-ii""]"
maximum-number-of-integers-to-choose-from-a-range-i,Maximum Number of Integers to Choose From a Range I,"<p>You are given an integer array <code>banned</code> and two integers <code>n</code> and <code>maxSum</code>. You are choosing some number of integers following the below rules:</p>

<ul>
	<li>The chosen integers have to be in the range <code>[1, n]</code>.</li>
	<li>Each integer can be chosen <strong>at most once</strong>.</li>
	<li>The chosen integers should not be in the array <code>banned</code>.</li>
	<li>The sum of the chosen integers should not exceed <code>maxSum</code>.</li>
</ul>

<p>Return <em>the <strong>maximum</strong> number of integers you can choose following the mentioned rules</em>.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> banned = [1,6,5], n = 5, maxSum = 6
<strong>Output:</strong> 2
<strong>Explanation:</strong> You can choose the integers 2 and 4.
2 and 4 are from the range [1, 5], both did not appear in banned, and their sum is 6, which did not exceed maxSum.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> banned = [1,2,3,4,5,6,7], n = 8, maxSum = 1
<strong>Output:</strong> 0
<strong>Explanation:</strong> You cannot choose any integer while following the mentioned conditions.
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre>
<strong>Input:</strong> banned = [11], n = 7, maxSum = 50
<strong>Output:</strong> 7
<strong>Explanation:</strong> You can choose the integers 1, 2, 3, 4, 5, 6, and 7.
They are from the range [1, 7], all did not appear in banned, and their sum is 28, which did not exceed maxSum.
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= banned.length <= 10<sup>4</sup></code></li>
	<li><code>1 <= banned[i], n <= 10<sup>4</sup></code></li>
	<li><code>1 <= maxSum <= 10<sup>9</sup></code></li>
</ul>","[1,6,5]
5
6","class Solution {
public:
    int maxCount(vector<int>& banned, int n, int maxSum) {
        
    }
};",Medium,"[""array"", ""hash-table"", ""binary-search"", ""greedy"", ""sorting""]","[""first-missing-positive"", ""find-all-numbers-disappeared-in-an-array"", ""append-k-integers-with-minimal-sum"", ""replace-elements-in-an-array"", ""maximum-number-of-integers-to-choose-from-a-range-ii""]"
smallest-missing-non-negative-integer-after-operations,Smallest Missing Non-negative Integer After Operations,"<p>You are given a <strong>0-indexed</strong> integer array <code>nums</code> and an integer <code>value</code>.</p>

<p>In one operation, you can add or subtract <code>value</code> from any element of <code>nums</code>.</p>

<ul>
	<li>For example, if <code>nums = [1,2,3]</code> and <code>value = 2</code>, you can choose to subtract <code>value</code> from <code>nums[0]</code> to make <code>nums = [-1,2,3]</code>.</li>
</ul>

<p>The MEX (minimum excluded) of an array is the smallest missing <strong>non-negative</strong> integer in it.</p>

<ul>
	<li>For example, the MEX of <code>[-1,2,3]</code> is <code>0</code> while the MEX of <code>[1,0,3]</code> is <code>2</code>.</li>
</ul>

<p>Return <em>the maximum MEX of </em><code>nums</code><em> after applying the mentioned operation <strong>any number of times</strong></em>.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,-10,7,13,6,8], value = 5
<strong>Output:</strong> 4
<strong>Explanation:</strong> One can achieve this result by applying the following operations:
- Add value to nums[1] twice to make nums = [1,<strong><u>0</u></strong>,7,13,6,8]
- Subtract value from nums[2] once to make nums = [1,0,<strong><u>2</u></strong>,13,6,8]
- Subtract value from nums[3] twice to make nums = [1,0,2,<strong><u>3</u></strong>,6,8]
The MEX of nums is 4. It can be shown that 4 is the maximum MEX we can achieve.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,-10,7,13,6,8], value = 7
<strong>Output:</strong> 2
<strong>Explanation:</strong> One can achieve this result by applying the following operation:
- subtract value from nums[2] once to make nums = [1,-10,<u><strong>0</strong></u>,13,6,8]
The MEX of nums is 2. It can be shown that 2 is the maximum MEX we can achieve.
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= nums.length, value <= 10<sup>5</sup></code></li>
	<li><code>-10<sup>9</sup> <= nums[i] <= 10<sup>9</sup></code></li>
</ul>","[1,-10,7,13,6,8]
5","class Solution {
public:
    int findSmallestInteger(vector<int>& nums, int value) {
        
    }
};",Medium,"[""array"", ""hash-table"", ""math"", ""greedy""]","[""first-missing-positive""]"
maximum-number-of-integers-to-choose-from-a-range-ii,Maximum Number of Integers to Choose From a Range II,,"[1,4,6]
6
4",,Medium,"[""array"", ""binary-search"", ""greedy"", ""sorting""]","[""first-missing-positive"", ""find-all-numbers-disappeared-in-an-array"", ""append-k-integers-with-minimal-sum"", ""replace-elements-in-an-array"", ""maximum-number-of-integers-to-choose-from-a-range-i"", ""maximize-the-distance-between-points-on-a-square""]"
next-greater-element-ii,Next Greater Element II,"<p>Given a circular integer array <code>nums</code> (i.e., the next element of <code>nums[nums.length - 1]</code> is <code>nums[0]</code>), return <em>the <strong>next greater number</strong> for every element in</em> <code>nums</code>.</p>

<p>The <strong>next greater number</strong> of a number <code>x</code> is the first greater number to its traversing-order next in the array, which means you could search circularly to find its next greater number. If it doesn't exist, return <code>-1</code> for this number.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,2,1]
<strong>Output:</strong> [2,-1,2]
Explanation: The first 1's next greater number is 2; 
The number 2 can't find next greater number. 
The second 1's next greater number needs to search circularly, which is also 2.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,2,3,4,3]
<strong>Output:</strong> [2,3,4,-1,4]
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= nums.length <= 10<sup>4</sup></code></li>
	<li><code>-10<sup>9</sup> <= nums[i] <= 10<sup>9</sup></code></li>
</ul>","[1,2,1]","class Solution {
public:
    vector<int> nextGreaterElements(vector<int>& nums) {
        
    }
};",Medium,"[""array"", ""stack"", ""monotonic-stack""]","[""next-greater-element-i"", ""next-greater-element-iii"", ""maximum-and-minimum-sums-of-at-most-size-k-subarrays""]"
daily-temperatures,Daily Temperatures,"<p>Given an array of integers <code>temperatures</code> represents the daily temperatures, return <em>an array</em> <code>answer</code> <em>such that</em> <code>answer[i]</code> <em>is the number of days you have to wait after the</em> <code>i<sup>th</sup></code> <em>day to get a warmer temperature</em>. If there is no future day for which this is possible, keep <code>answer[i] == 0</code> instead.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>
<pre><strong>Input:</strong> temperatures = [73,74,75,71,69,72,76,73]
<strong>Output:</strong> [1,1,4,2,1,1,0,0]
</pre><p><strong class=""example"">Example 2:</strong></p>
<pre><strong>Input:</strong> temperatures = [30,40,50,60]
<strong>Output:</strong> [1,1,1,0]
</pre><p><strong class=""example"">Example 3:</strong></p>
<pre><strong>Input:</strong> temperatures = [30,60,90]
<strong>Output:</strong> [1,1,0]
</pre>
<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= temperatures.length <= 10<sup>5</sup></code></li>
	<li><code>30 <= temperatures[i] <= 100</code></li>
</ul>","[73,74,75,71,69,72,76,73]","class Solution {
public:
    vector<int> dailyTemperatures(vector<int>& temperatures) {
        
    }
};",Medium,"[""array"", ""stack"", ""monotonic-stack""]","[""next-greater-element-i"", ""online-stock-span""]"
sum-of-subarray-ranges,Sum of Subarray Ranges,"<p>You are given an integer array <code>nums</code>. The <strong>range</strong> of a subarray of <code>nums</code> is the difference between the largest and smallest element in the subarray.</p>

<p>Return <em>the <strong>sum of all</strong> subarray ranges of </em><code>nums</code><em>.</em></p>

<p>A subarray is a contiguous <strong>non-empty</strong> sequence of elements within an array.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,2,3]
<strong>Output:</strong> 4
<strong>Explanation:</strong> The 6 subarrays of nums are the following:
[1], range = largest - smallest = 1 - 1 = 0 
[2], range = 2 - 2 = 0
[3], range = 3 - 3 = 0
[1,2], range = 2 - 1 = 1
[2,3], range = 3 - 2 = 1
[1,2,3], range = 3 - 1 = 2
So the sum of all ranges is 0 + 0 + 0 + 1 + 1 + 2 = 4.</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> nums = [1,3,3]
<strong>Output:</strong> 4
<strong>Explanation:</strong> The 6 subarrays of nums are the following:
[1], range = largest - smallest = 1 - 1 = 0
[3], range = 3 - 3 = 0
[3], range = 3 - 3 = 0
[1,3], range = 3 - 1 = 2
[3,3], range = 3 - 3 = 0
[1,3,3], range = 3 - 1 = 2
So the sum of all ranges is 0 + 0 + 0 + 2 + 0 + 2 = 4.
</pre>

<p><strong class=""example"">Example 3:</strong></p>

<pre>
<strong>Input:</strong> nums = [4,-2,-3,4,1]
<strong>Output:</strong> 59
<strong>Explanation:</strong> The sum of all subarray ranges of nums is 59.
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= nums.length <= 1000</code></li>
	<li><code>-10<sup>9</sup> <= nums[i] <= 10<sup>9</sup></code></li>
</ul>

<p> </p>
<p><strong>Follow-up:</strong> Could you find a solution with <code>O(n)</code> time complexity?</p>","[1,2,3]","class Solution {
public:
    long long subArrayRanges(vector<int>& nums) {
        
    }
};",Medium,"[""array"", ""stack"", ""monotonic-stack""]","[""next-greater-element-i"", ""sum-of-subarray-minimums"", ""number-of-visible-people-in-a-queue"", ""count-number-of-homogenous-substrings"", ""sum-of-total-strength-of-wizards""]"
sum-of-total-strength-of-wizards,Sum of Total Strength of Wizards,"<p>As the ruler of a kingdom, you have an army of wizards at your command.</p>

<p>You are given a <strong>0-indexed</strong> integer array <code>strength</code>, where <code>strength[i]</code> denotes the strength of the <code>i<sup>th</sup></code> wizard. For a <strong>contiguous</strong> group of wizards (i.e. the wizards' strengths form a <strong>subarray</strong> of <code>strength</code>), the <strong>total strength</strong> is defined as the <strong>product</strong> of the following two values:</p>

<ul>
	<li>The strength of the <strong>weakest</strong> wizard in the group.</li>
	<li>The <strong>total</strong> of all the individual strengths of the wizards in the group.</li>
</ul>

<p>Return <em>the <strong>sum</strong> of the total strengths of <strong>all</strong> contiguous groups of wizards</em>. Since the answer may be very large, return it <strong>modulo</strong> <code>10<sup>9</sup> + 7</code>.</p>

<p>A <strong>subarray</strong> is a contiguous <strong>non-empty</strong> sequence of elements within an array.</p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> strength = [1,3,1,2]
<strong>Output:</strong> 44
<strong>Explanation:</strong> The following are all the contiguous groups of wizards:
- [1] from [<u><strong>1</strong></u>,3,1,2] has a total strength of min([1]) * sum([1]) = 1 * 1 = 1
- [3] from [1,<u><strong>3</strong></u>,1,2] has a total strength of min([3]) * sum([3]) = 3 * 3 = 9
- [1] from [1,3,<u><strong>1</strong></u>,2] has a total strength of min([1]) * sum([1]) = 1 * 1 = 1
- [2] from [1,3,1,<u><strong>2</strong></u>] has a total strength of min([2]) * sum([2]) = 2 * 2 = 4
- [1,3] from [<u><strong>1,3</strong></u>,1,2] has a total strength of min([1,3]) * sum([1,3]) = 1 * 4 = 4
- [3,1] from [1,<u><strong>3,1</strong></u>,2] has a total strength of min([3,1]) * sum([3,1]) = 1 * 4 = 4
- [1,2] from [1,3,<u><strong>1,2</strong></u>] has a total strength of min([1,2]) * sum([1,2]) = 1 * 3 = 3
- [1,3,1] from [<u><strong>1,3,1</strong></u>,2] has a total strength of min([1,3,1]) * sum([1,3,1]) = 1 * 5 = 5
- [3,1,2] from [1,<u><strong>3,1,2</strong></u>] has a total strength of min([3,1,2]) * sum([3,1,2]) = 1 * 6 = 6
- [1,3,1,2] from [<u><strong>1,3,1,2</strong></u>] has a total strength of min([1,3,1,2]) * sum([1,3,1,2]) = 1 * 7 = 7
The sum of all the total strengths is 1 + 9 + 1 + 4 + 4 + 4 + 3 + 5 + 6 + 7 = 44.
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> strength = [5,4,6]
<strong>Output:</strong> 213
<strong>Explanation:</strong> The following are all the contiguous groups of wizards: 
- [5] from [<u><strong>5</strong></u>,4,6] has a total strength of min([5]) * sum([5]) = 5 * 5 = 25
- [4] from [5,<u><strong>4</strong></u>,6] has a total strength of min([4]) * sum([4]) = 4 * 4 = 16
- [6] from [5,4,<u><strong>6</strong></u>] has a total strength of min([6]) * sum([6]) = 6 * 6 = 36
- [5,4] from [<u><strong>5,4</strong></u>,6] has a total strength of min([5,4]) * sum([5,4]) = 4 * 9 = 36
- [4,6] from [5,<u><strong>4,6</strong></u>] has a total strength of min([4,6]) * sum([4,6]) = 4 * 10 = 40
- [5,4,6] from [<u><strong>5,4,6</strong></u>] has a total strength of min([5,4,6]) * sum([5,4,6]) = 4 * 15 = 60
The sum of all the total strengths is 25 + 16 + 36 + 36 + 40 + 60 = 213.
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= strength.length <= 10<sup>5</sup></code></li>
	<li><code>1 <= strength[i] <= 10<sup>9</sup></code></li>
</ul>","[1,3,1,2]","class Solution {
public:
    int totalStrength(vector<int>& strength) {
        
    }
};",Hard,"[""array"", ""stack"", ""monotonic-stack"", ""prefix-sum""]","[""next-greater-element-i"", ""sum-of-subarray-minimums"", ""number-of-visible-people-in-a-queue"", ""sum-of-subarray-ranges""]"
next-greater-element-iv,Next Greater Element IV,"<p>You are given a <strong>0-indexed</strong> array of non-negative integers <code>nums</code>. For each integer in <code>nums</code>, you must find its respective <strong>second greater</strong> integer.</p>

<p>The <strong>second greater</strong> integer of <code>nums[i]</code> is <code>nums[j]</code> such that:</p>

<ul>
	<li><code>j > i</code></li>
	<li><code>nums[j] > nums[i]</code></li>
	<li>There exists <strong>exactly one</strong> index <code>k</code> such that <code>nums[k] > nums[i]</code> and <code>i < k < j</code>.</li>
</ul>

<p>If there is no such <code>nums[j]</code>, the second greater integer is considered to be <code>-1</code>.</p>

<ul>
	<li>For example, in the array <code>[1, 2, 4, 3]</code>, the second greater integer of <code>1</code> is <code>4</code>, <code>2</code> is <code>3</code>, and that of <code>3</code> and <code>4</code> is <code>-1</code>.</li>
</ul>

<p>Return<em> an integer array </em><code>answer</code><em>, where </em><code>answer[i]</code><em> is the second greater integer of </em><code>nums[i]</code><em>.</em></p>

<p> </p>
<p><strong class=""example"">Example 1:</strong></p>

<pre>
<strong>Input:</strong> nums = [2,4,0,9,6]
<strong>Output:</strong> [9,6,6,-1,-1]
<strong>Explanation:</strong>
0th index: 4 is the first integer greater than 2, and 9 is the second integer greater than 2, to the right of 2.
1st index: 9 is the first, and 6 is the second integer greater than 4, to the right of 4.
2nd index: 9 is the first, and 6 is the second integer greater than 0, to the right of 0.
3rd index: There is no integer greater than 9 to its right, so the second greater integer is considered to be -1.
4th index: There is no integer greater than 6 to its right, so the second greater integer is considered to be -1.
Thus, we return [9,6,6,-1,-1].
</pre>

<p><strong class=""example"">Example 2:</strong></p>

<pre>
<strong>Input:</strong> nums = [3,3]
<strong>Output:</strong> [-1,-1]
<strong>Explanation:</strong>
We return [-1,-1] since neither integer has any integer greater than it.
</pre>

<p> </p>
<p><strong>Constraints:</strong></p>

<ul>
	<li><code>1 <= nums.length <= 10<sup>5</sup></code></li>
	<li><code>0 <= nums[i] <= 10<sup>9</sup></code></li>
</ul>","[2,4,0,9,6]","class Solution {
public:
    vector<int> secondGreaterElement(vector<int>& nums) {
        
    }
};",Hard,"[""array"", ""binary-search"", ""stack"", ""sorting"", ""heap-priority-queue"", ""monotonic-stack""]","[""next-greater-element-i"", ""replace-elements-with-greatest-element-on-right-side"", ""apply-operations-to-maximize-score""]"
